CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
9682;0;Via Pietro Maffi, 74 A e B;COLAPINTO SAS DR.SSA COLAPINTO FRANCESCA SOFIA;9204301007;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2007;-;Ordinaria;1;41.92369;12.41822;1
9683;0;Piazzale Clodio, 54;GALLO ADRIANA;170690580;195;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;28/02/2011;Ordinaria;1;41.91688;12.45443;1
9684;0;Via Giuseppe Girolami, 6;SPAGNOLI FRANCESCO;1414120582;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/08/2010;Ordinaria;1;41.92928;12.41651;1
9685;0;Via Fosso del Poggio, 9/a;GATTI GIANPAOLO;1798910582;189;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.97578;12.44043;1
9686;0;Via Aurelia, 712/D;RAPISARDA RIZZO OLIMPIA & C. SNC;9182641002;165;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2007;-;Ordinaria;1;41.92368;12.57115;1
9687;0;Via D. Galimberti, 21/23;Farmacia Eredi Cappelli;10125531003;136;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2008;-;Ordinaria;1;41.92368;12.57115;1
9688;0;Via Giuseppe Bonaccorsi, 32;DELLE FRATTE ANDREA;7496451001;167;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/10/2014;Ordinaria;1;41.9031;12.43834;1
9689;0;Via Gregorio VII, 129;MANNUCCI ANTONIO;2810410585;165;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2007;Ordinaria;1;41.89614;12.44191;1
9690;0;Piazzale Gregorio VII, 20/21;GUERRA - DR.SSA VALENTINA BORNEO;2798240582;165;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.8993;12.45142;1
9691;0;Via P. Maffi, 130;BEDESCHI PATRIZIA;2921560583;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/11/2014;-;Ordinaria;1;41.92368;12.57115;1
9692;0;Via De Viti De Marco, 48/D/E;GRANA DI PIETRO E SABINA GRANA SNC;10062781009;191;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/11/2009;-;Ordinaria;1;41.97178;12.49198;1
9693;0;Via L. Bodio, 73;DI ROLLO ROBERTO;3537680583;191;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2010;-;Ordinaria;1;41.94501;12.46426;1
9694;0;Via Mattia Battistini, 67;TORELLI SAS DI TORELLI MARIA GRAZIA;9633841003;167;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2008;-;Ordinaria;1;41.90477;12.41027;1
9695;0;Largo Giannina Milli, 17-18-18/a;NOCERINO GUIDO;4720400581;135;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/05/2015;Ordinaria;1;41.92368;12.57115;1
9696;0;Via Cassia, 840;SORRENTINO UGO;12493391002;189;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/02/2015;-;Ordinaria;1;42.08192;12.37295;1
9697;0;Via San Pio X, 1/a;SAN PIETRO;-;193;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/04/2007;Ordinaria;1;41.90202;12.46319;1
9698;0;Via Borgo Pio, 44/A;LAZZARO RAFFAELLA;3932040581;193;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;28/02/2013;Ordinaria;1;41.92368;12.57115;1
9699;0;Largo Cervinia, 23;IGEA DR.SSA INGRIA MARIA CATENA;4899500583;135;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/01/2008;Ordinaria;1;41.93436;12.43993;1
